room_id,host_id,neighbourhood,name,latitude,longitude,room_type,accommodates,bedrooms,beds,instant_bookable,first_review,last_review,number_of_reviews,review_scores_rating,price
45365578,182719624,浦东新区,青年里水色【鹿屿】双床网红浴缸投影仪落地窗独立庭院泳池免费早餐接送迪士尼度假游玩,31.14113,121.66758,Private room,4,1,2,t,2020-09-19,2020-09-19,1,100.0,1710.86
45365775,182719624,浦东新区,青年里水色【离海】圣托里尼双床房浴缸书桌网红别墅泳池田园景观落地窗夕阳晚霞投影仪迪士尼接送,31.1408,121.66681,Private room,2,1,2,t,2020-09-19,2021-01-31,13,95.0,1952.47
45366055,182719624,浦东新区,青年里水色【邂逅】哥特风落地窗阳光设计感网红泳池庭院投影仪浴缸乡野风光大床房免费早餐迪士尼接送,31.14207,121.66782,Private room,2,1,1,t,2020-09-19,2021-01-02,3,100.0,1417.01
45366264,182719624,浦东新区,青年里水色【芳菲】圣托里尼蓝天白云双床房露天泳池烛光露台ins风落地窗投影仪浴缸吊灯网红拍照种草,31.14282,121.66721,Private room,4,1,2,t,2020-09-19,2021-01-05,4,100.0,1763.1
45366474,182719624,浦东新区,青年里水色【桑野】落地窗吊床泳池景观投影仪大浴缸闺蜜亲子家庭含早餐迪士尼接送小清新唯美度假首选,31.14076,121.66752,Private room,5,2,3,t,2020-09-19,2021-01-18,28,98.0,2226.73
45367563,182719624,浦东新区,青年里水色【仙踪】洁白清新ins风浪漫泳池浴缸大床房投影仪独卫书桌复古吊灯网红落地窗夕阳秋千,31.14122,121.66825,Private room,2,1,1,t,2020-09-23,2021-02-20,22,97.0,1417.01
45367593,182719624,浦东新区,青年里水色【千寻】三床超大落地窗俯瞰泳池浴缸投影仪海岛风求婚聚会商拍轰趴首选含早餐靠近迪士尼免费接送,31.14176,121.66698999999998,Private room,5,2,3,t,2020-10-16,2021-02-09,4,100.0,2096.13
45371472,272170529,浦东新区,迪S尼—木棉惬意大床房免费接送独立卫生间,31.14441,121.68209,Private room,2,1,1,t,2020-09-17,2020-09-17,1,100.0,1299.47
45371691,272170529,浦东新区,迪S尼—特价简约双床房免费接送独立卫生间,31.14392,121.68278,Private room,3,1,2,t,2020-11-02,2020-11-02,1,100.0,1325.59
45371747,272170529,浦东新区,迪S尼—家庭舒适双床房免费接送独立卫生间,31.14387,121.6814,Private room,4,1,2,t,2020-10-06,2020-10-06,1,100.0,1612.91
45372133,365234187,浦东新区,花筑.迪士尼包栋【ins花园别墅】/麻将/桌游/烧烤/近地铁/园景落地窗/含双早,31.10122,121.63291,Entire home/apt,16,7,9,t,2020-10-01,2020-10-01,1,80.0,28483.86
45372979,342321994,浦东新区,【限时特惠】——告白末时代！迪士尼边上高品质民宿，往返免费接送，含早，全实景拍摄！毗邻城镇，5分钟达,31.11114,121.65709,Private room,4,1,2,t,2020-09-17,2020-09-17,1,100.0,4884.440000000001
45373375,342321994,浦东新区,【甩房】——小树屋！高性价比，高品质民宿，强力推荐！完全实物拍摄，不满意包退，毗邻迪士尼，8分钟含早,31.14222,121.66698,Private room,3,1,2,t,2020-10-09,2020-10-09,1,100.0,5250.12
45375317,214586439,浦东新区,无墨•溪岸/七海爱丁堡家庭套房/免费接送迪士尼/ 距离迪士尼10分钟/近11号线/含早餐/智能马桶,31.14394,121.66143,Entire home/apt,4,2,2,t,2020-10-02,2020-10-07,2,100.0,1861.05
